DH Tool,Link,Abstract
Drupal,https://www.drupal.org/ , https://dh-abstracts.library.virginia.edu/works/1610
Gephi,https://gephi.org/,https://dh-abstracts.library.virginia.edu/works/1762
Google Books,https://books.google.com/,https://dh-abstracts.library.virginia.edu/works/6286
Palladio ,http://hdlab.stanford.edu/palladio/about/,http://republicofletters.stanford.edu/
Python,https://www.python.org/,https://dh-abstracts.library.virginia.edu/works/11841
Scalar,http://scalar.usc.edu/scalar , https://dh-abstracts.library.virginia.edu/works/3879
Scholarly 3D Toolkit,https://digitalhumanities101.wordpress.com/2014/10/22/connecting-digital-humanities-data-with-the-scholarly-3d-toolkit/,https://dh-abstracts.library.virginia.edu/works/2111 
StoryMap,https://storymap.knightlab.com/,https://www.georgiahumanities.org/southern-literary-trail-story-map/
TEI,https://tei-c.org/,https://mith.umd.edu/research/early-modern-soundscapes/
Twitter (X),https://twitter.com/?lang=en,https://dh-abstracts.library.virginia.edu/works/9425
Voyant,https://voyant-tools.org/,https://dh-abstracts.library.virginia.edu/works/11736
WordPress,https://wordpress.com/home/tenweeks716798793.wordpress.com,https://dh-abstracts.library.virginia.edu/works/2822
